RANK,Home & Kitchen,Sports & Outdoors,Electronics,Home & Garden,Toys & Games,Home Improvement,Baby,Automotive,Musical Instruments,Clothing & Accessories,Industrial & Scientific,Health & Personal Care,Pet Supplies,Office Product,Appliances,"Arts, Crafts & Sewing",Cell Phones & Accessories
1,25290,30720,19050,1590,20070,3300,17520,11550,11550,24960,13200,43440,29490,60510,4110,8640,45180
10,20160,19920,12210,1436,12840,3159,11220,7020,7020,17400,7530,32070,19350,36390,3960,5820,27180
25,17370,15330,9210,1345,9930,3049,8520,5310,5310,14070,5430,26250,14880,26850,3780,4560,20070
74,13590,10290,5910,1093,6780,2777,5580,3510,3510,10200,3330,18960,9840,16950,3330,3120,12660
350,8040,4710,2430,600,3300,2013,2400,1650,1650,5490,1350,9480,4320,6990,2070,1500,5220
1000,4830,2370,1080,348,1770,1233,1140,870,870,3180,630,4890,2040,3210,960,780,2400
8000,1080,390,150,54,390,289,180,180,180,750,90,750,300,450,60,150,330
25000,360,120,30,8,150,110,60,60,60,300,30,210,90,120,25,60,90
52000,150,60,15,4,60,51,30,30,30,150,10,90,30,60,9,30,30
96000,90,30,7,2,30,23,15,15,15,90,5,30,10,25,0,13,10
162000,30,10,2,1,15,10,7,7,7,60,2,10,3,9,0,6,3